key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
118,January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS
119,February,Economy,UK,UK,129.8,BRITISH AIRWAYS,IPS
120,January,Economy,UK,UK,222.01,FLYBE BRITISH EUROPEAN,IPS
121,January,Economy,UK,UK,185.82,FLYBE BRITISH EUROPEAN,IPS
122,January,Economy,UK,UK,295.59,BMI,IPS
123,January,Economy,UK,UK,141.51,FLYBE BRITISH EUROPEAN,IPS
124,February,Economy,UK,UK,195.59,BMI,IPS
125,January,Economy,UK,UK,127.5,FLYBE BRITISH EUROPEAN,IPS
126,March,Economy,UK,Non EEA,385.29,KLM-ROYAL DUTCH AIRLINES,IPS
127,February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
128,February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS
129,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
130,February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS
131,February,Economy,UK,UK,57.85,BRITISH AIRWAYS,IPS
132,February,Economy,UK,UK,57.74,EASYJET,IPS
133,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
134,January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
135,February,Economy,UK,Non EEA,616.67,QANTAS AIRWAYS,IPS
136,February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS
137,January,Economy,UK,UK,151.54,BRITISH AIRWAYS,IPS
138,February,Economy,UK,UK,104.62,BRITISH AIRWAYS,IPS
139,February,Business Class,UK,UK,161.8,BRITISH AIRWAYS,IPS
140,February,Economy,UK,UK,114.62,BRITISH AIRWAYS,IPS
141,February,Economy,UK,UK,62.85,BRITISH AIRWAYS,IPS
142,February,Economy,UK,UK,160.51,FLYBE BRITISH EUROPEAN,IPS
143,February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS
144,February,Economy,UK,UK,142.59,BMI,IPS
145,February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
146,February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS
147,February,Business Class,UK,UK,161.69,BRITISH AIRWAYS,IPS
148,February,Economy,UK,UK,101.03,EASYJET,IPS
149,February,Economy,UK,UK,101.5,FLYBE BRITISH EUROPEAN,IPS
150,February,Economy,UK,UK,87.5,FLYBE BRITISH EUROPEAN,IPS
151,February,Economy,UK,UK,290.9,BMI,IPS
152,February,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS
153,February,Business Class,UK,UK,154.5,BRITISH AIRWAYS,IPS
154,February,Economy,UK,UK,123.91,FLYBE BRITISH EUROPEAN,IPS
155,February,Economy,UK,UK,211.59,BMI,IPS
156,February,Economy,UK,UK,48.01,FLYBE BRITISH EUROPEAN,IPS
157,February,Economy,UK,UK,184.34,FLYBE BRITISH EUROPEAN,IPS
158,February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
159,February,Economy,UK,UK,234.59,BMI,IPS
160,February,Economy,UK,UK,48.5,FLYBE BRITISH EUROPEAN,IPS
