CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S5105,UMAWANJO SECONDARY SCHOOL,Njombe,Southern Highlands,41,41,41,41,100,green,2.4404,3,,104,
S2153,AQUINAS SECONDARY SCHOOL,Mtwara,Southern Highlands,59,59,59,59,100,green,2.4434,3,4,105,106
S0232,HEKIMA SECONDARY SCHOOL,Kagera,Lake,89,89,89,89,100,green,2.4443,3,4,106,60
S0194,FARAJA SEMINARY,Kilimanjaro,Northern,125,125,125,125,100,green,2.4542,3,5,107,138
S4741,DIPLOMAT SECONDARY SCHOOL,Mwanza,Lake,78,77,77,77,100,green,2.4585,3,6,108,382
S1599,BAOBAB SECONDARY SCHOOL,Pwani,Coastal,118,118,118,118,100,green,2.4607,3,4,109,61
S2180,MAGNIFICAT SECONDARY SCHOOL,Kilimanjaro,Northern,84,84,84,84,100,green,2.469,3,4,110,112
S4623,ST JAMES KILOLO SECONDARY SCHOOL,Iringa,Southern Highlands,40,40,40,40,100,green,2.4843,3,,111,
S0420,CHANJALE SEMINARY,Kilimanjaro,Northern,67,67,67,67,100,green,2.4918,3,5,112,55
S2354,EAGLES SECONDARY SCHOOL,Pwani,Coastal,80,80,80,80,100,green,2.4943,3,3,113,30
S4932,BUHONGWA ISLAMIC SECONDARY SCHOOL,Mwanza,Lake,114,114,114,114,100,green,2.5,4,4,114,79
S1141,SWILLA SECONDARY SCHOOL,Mbeya,Southern Highlands,141,141,141,141,100,green,2.5019,4,4,115,75
S4131,NYANZA ADVENTIST SECONDARY SCHOOL,Mwanza,Lake,69,69,69,69,100,green,2.5134,4,4,116,90
S4572,IPWAGA SECONDARY SCHOOL,Mwanza,Lake,40,40,40,40,100,green,2.5136,4,5,117,66
