CSEE 2015 SCHOOL RANKING - CENTRE WITH 40 AND MORE CANDIDATES,,,,,,,,,,
"KEY: BAND1: GPA 1 to 1.499, BAND2: 1.5 to 1.999 , BAND3: 2 to 2.499, BAND4: 2.5 to 2.999, BAND5: 3 to 3.499, BAND6: 3.5 to 3.999, BAND7: 4 to 4.299,    BAND8: 4.3 to 4.499, BAND9:4.5 to 4.699, BAND10: 4.7 to 5",,,,,,,,,,
S3483,ST. MARY'S-ULETE SECONDARY SCHOOL,IRINGA,75,75,75,2.049,3,3,35,28
S3905,UWATA SECONDARY SCHOOL,MBEYA,89,89,89,2.0599,3,3,36,47
S5268,HOLY FAMILY GIRLS' SECONDARY SCHOOL,MWANZA,87,87,87,2.0638,3,,37,
S0297,QUEEN OF FAMILY SECONDARY SCHOOL,SHINYANGA,81,81,81,2.0788,3,3,38,25
S0111,ITAGA SEMINARY,TABORA,42,42,42,2.0914,3,4,39,101
S4569,ST MARIE EUGENIE SECONDARY SCHOOL,KILIMANJARO,67,67,67,2.0974,3,4,40,99
S0217,PERAMIHO GIRLS SECONDARY SCHOOL,RUVUMA,64,64,64,2.1118,3,3,41,38
S5099,OLYMPUS SECONDARY SCHOOL,MARA ,48,48,48,2.1219,3,4,42,64
S4796,ST. CLARE BIHARAMULO GIRLS SECONDARY SCHOOL,KAGERA,40,40,40,2.1234,3,4,43,78
S0260,ST. ANN'S GIRLS SEMINARY,MOROGORO,49,49,49,2.1259,3,4,44,103
S4556,ST. CLARA SECONDARY SCHOOL,KILIMANJARO,60,60,60,2.1287,3,3,45,54
S0234,ST. LUISE MBINGA GIRLS SECONDARY SCHOOL,RUVUMA,76,76,76,2.1299,3,4,46,68
S3861,ANDERLEK  RIDGES SECONDARY SCHOOL,SHINYANGA,164,163,163,2.1329,3,3,47,42
S2315,KANDOTO SAYANSI GIRLS SECONDARY SCHOOL,KILIMANJARO,106,106,106,2.1515,3,3,48,33
S4624,PREMIER GIRLS SECONDARY SCHOOL,PWANI,58,58,58,2.1691,3,,49,
S3826,MIVUMONI ISLAMIC SEMINARY,DAR ES SALAAM,52,52,52,2.1797,3,3,50,20
S4554,HENRY GOGARTY SECONDARY SCHOOL,ARUSHA,106,106,106,2.1823,3,3,51,43
S2421,STAR SECONDARY SCHOOL,ARUSHA,77,77,77,2.1839,3,4,52,85
S0110,ILBORU SECONDARY SCHOOL,ARUSHA,109,108,107,2.2041,3,3,53,35
S2506,CARMEL SECONDARY SCHOOL,MOROGORO,51,51,51,2.2046,3,2,54,9
S0262,AMANI GIRLS SECONDARY SCHOOL,SINGIDA,68,68,68,2.2051,3,3,55,15
S4827,ST. PETER CLAVER HIGH SCHOOL,DODOMA,181,181,181,2.2076,3,4,56,80
S4351,GENDA SECONDARY SCHOOL,MANYARA,41,41,41,2.214,3,4,57,116
S3822,MOTHER TERESA OF CALCUTA  GIRLS SECONDARY SCHOOL,KILIMANJARO,77,77,77,2.215,3,4,58,130
S0256,HURUMA GIRLS SECONDARY SCHOOL,DODOMA,53,53,53,2.2159,3,4,59,63
S2549,ALPHA SECONDARY SCHOOL,DAR ES SALAAM,105,105,105,2.2161,3,3,60,53
S0245,PALLOTI GIRLS SECONDARY SCHOOL,SINGIDA,75,75,75,2.217,3,4,61,86
S3674,ST. JOSEPH MILLENIUM SECONDARY SCHOOL,DAR ES SALAAM,127,127,127,2.221,3,3,62,31
S4968,ST. FRANCIS DE SALES MISSION SECONDARY SCHOOL,TABORA,59,59,59,2.2226,3,,63,
S0241,KOWAK GIRLS' SECONDARY SCHOOL,MARA ,111,111,111,2.2296,3,4,64,89
S0130,MAUA SEMINARY,KILIMANJARO,45,45,45,2.2321,3,3,65,10
S4706,FAMGI SECONDARY SCHOOL,MWANZA,44,44,44,2.2354,3,3,66,26
S0127,MAKOKO SEMINARY SECONDARY SCHOOL,MARA ,60,60,60,2.2364,3,3,67,32
S0323,LAKE SECONDARY SCHOOL,MWANZA,51,51,51,2.2392,3,4,68,109
S0119,KIBAHA SECONDARY SCHOOL,PWANI,116,114,114,2.249,3,4,69,87
S0240,ST. JOSEPH GIRLS SEMINARY,MWANZA,76,76,76,2.2504,3,3,70,57
S0140,MZUMBE SECONDARY SCHOOL,MOROGORO,108,106,105,2.2638,3,3,71,56
S2626,CHARLOTTE SECONDARY SCHOOL,MOROGORO,60,60,60,2.2712,3,4,72,108
S5258,ST GETRUDE MLANDIZI GIRLS SECONDARY SCHOOL,PWANI,49,49,49,2.2765,3,,73,
S4207,MARIA DE MATTIAS SECONDARY SCHOOL,DODOMA,64,64,64,2.2769,3,4,74,59
S4854,GEITA ADVENTIST SECONDARY SCHOOL,GEITA,46,46,46,2.28,3,4,75,92
S4867,KITUNGWA SECONDARY SCHOOL,MOROGORO,46,46,46,2.2869,3,4,76,104
S0154,ST. PETER'S SEMINARY,MOROGORO,55,55,55,2.301,3,4,77,37
S1187,ST. MARY GORETI SECONDARY SCHOOL,KILIMANJARO,147,147,147,2.315,3,3,78,45
S1757,BENDEL MEMORIAL SECONDARY SCHOOL,KILIMANJARO,119,119,119,2.3164,3,4,79,67
S0168,SANU SEMINARY,MANYARA,44,44,44,2.3245,3,3,80,50
S0263,VISITATION GIRLS' SECONDARY SCHOOL,KILIMANJARO,57,57,57,2.3277,3,4,81,62
S0756,MURUTUNGURU SECONDARY SCHOOL,MWANZA,73,73,73,2.3353,3,5,82,140
S1530,ST. RUFINO AND RONALDO AGR. SEC. SCHOOL,KIGOMA,85,85,85,2.3356,3,4,83,58
S1670,STANLEY SECONDARY SCHOOL,DAR ES SALAAM,43,43,43,2.3438,3,3,84,27
S0800,LOYOLA SECONDARY SCHOOL,DAR ES SALAAM,184,184,184,2.3463,3,4,85,66
S2499,TUSIIME SECONDARY SCHOOL,DAR ES SALAAM,171,171,171,2.357,3,3,86,41
S5128,OSWE SECONDARY SCHOOL,MBEYA,55,55,55,2.358,3,4,87,115
S0167,KIDUGALA LUTHERAN SEMINARY,NJOMBE,85,85,85,2.3596,3,3,88,29
S0938,MBEZI BEACH SECONDARY SCHOOL,DAR ES SALAAM,75,75,75,2.3704,3,5,89,144
S5376,RITALIZA SECONDARY SCHOOL,KILIMANJARO,43,43,43,2.3816,3,,90,
S4740,ST STEPHEN BOYS SECONDARY SCHOOL,KILIMANJARO,87,87,87,2.3889,3,3,91,37
S0205,KIBOSHO GIRLS SECONDARY SCHOOL,KILIMANJARO,151,151,151,2.3955,3,4,92,81
S0184,AGAPE LUTHERAN J SEMINARY,KILIMANJARO,106,106,106,2.4012,3,3,93,51
S0206,KILAKALA SECONDARY SCHOOL,MOROGORO,94,92,92,2.403,3,4,94,96
S4601,ST. FRANCIS OF ASSISI GIRLS' SECONDARY SCHOOL,DODOMA,67,67,67,2.4036,3,4,95,72
S0223,MASAMA GIRLS SECONDARY SCHOOL,KILIMANJARO,64,64,64,2.4087,3,4,96,70
S4423,ST. FRANCIS XAVIER SECONDARY SCHOOL,KIGOMA,89,89,89,2.41,3,4,97,88
S0183,STELLA MATUTINA LIGHANO SEMINARY,RUVUMA,46,46,46,2.4126,3,3,98,29
S4928,LIVING STONE BOYS' SEMINARY ,TANGA,63,63,63,2.4127,3,,99,
S1792,TRUST PATRICK SECONDARY SCHOOL,ARUSHA,93,93,93,2.4152,3,4,100,65
S1409,HAGAFILO SECONDARY SCHOOL,NJOMBE,59,59,59,2.4263,3,4,101,113
S4063,CHIEF WANZAGI SECONDARY SCHOOL,MARA ,40,40,40,2.4306,3,4,102,83
S4193,HARRISON UWATA GIRLS SECONDARY SCHOOL,MBEYA,118,117,117,2.4382,3,3,103,55
S5105,UMAWANJO SECONDARY SCHOOL,NJOMBE,41,41,41,2.4404,3,,104,
S2153,AQUINAS SECONDARY SCHOOL,MTWARA,59,59,59,2.4434,3,4,105,106
S0232,HEKIMA SECONDARY SCHOOL,KAGERA,89,89,89,2.4443,3,4,106,60
S0194,FARAJA SEMINARY,KILIMANJARO,125,125,125,2.4542,3,5,107,138
S4741,DIPLOMAT SECONDARY SCHOOL,MWANZA,78,77,77,2.4585,3,6,108,382
S1599,BAOBAB SECONDARY SCHOOL,PWANI,118,118,118,2.4607,3,4,109,61
S2180,MAGNIFICAT SECONDARY SCHOOL,KILIMANJARO,84,84,84,2.469,3,4,110,112
S4623,ST JAMES KILOLO SECONDARY SCHOOL,IRINGA,40,40,40,2.4843,3,,111,
S0420,CHANJALE SEMINARY,KILIMANJARO,67,67,67,2.4918,3,5,112,55
S2354,EAGLES SECONDARY SCHOOL,PWANI,80,80,80,2.4943,3,3,113,30
S4932,BUHONGWA ISLAMIC SECONDARY SCHOOL,MWANZA,114,114,114,2.5,4,4,114,79
S1141,SWILLA SECONDARY SCHOOL,MBEYA,141,141,141,2.5019,4,4,115,75
S4131,NYANZA ADVENTIST SECONDARY SCHOOL,MWANZA,69,69,69,2.5134,4,4,116,90
S4572,IPWAGA SECONDARY SCHOOL,MWANZA,40,40,40,2.5136,4,5,117,66
S0277,SPRING VALLEY SECONDARY SCHOOL,IRINGA,46,46,46,2.5201,4,4,118,51
S1334,MHONGOLO PROGRESSIVE SECONDARY SCHOOL,SHINYANGA,91,91,91,2.5216,4,4,119,74
S1049,ST.THOMAS AQUINAS' SECONDARY SCHOOL,TABORA,111,111,111,2.5221,4,4,120,122
S0266,REGINA MUNDI GIRLS SECONDARY SCHOOL,MOROGORO,58,57,57,2.5397,4,5,121,145
S0631,UMOJA SECONDARY SCHOOL,TABORA,136,136,136,2.5401,4,4,122,127
S0220,TABORA GIRLS SECONDARY SCHOOL,TABORA,94,92,91,2.5508,4,6,123,295
S0155,TABORA BOYS SECONDARY SCHOOL,TABORA,100,99,99,2.5516,4,4,124,93
S3867,ST.TERESA OF AVILA GIRLS SECONDARY SCHOOL,KILIMANJARO,80,80,80,2.5521,4,5,125,149
S4472,GOD'S BRIDGE SECONDARY SCHOOL,MBEYA,99,99,99,2.5599,4,5,126,169
S0289,SOLACE GIRLS' SECONDARY SCHOOL,MBEYA,87,87,87,2.5613,4,4,127,124
S1343,ANNE MARIE SECONDARY SCHOOL,DAR ES SALAAM,123,123,123,2.5648,4,5,128,136
S4969,QUEEN OF PEACE SECONDARY SCHOOL,TABORA,72,72,72,2.5654,4,4,129,102
S2652,KOM  SECONDARY SCHOOL,SHINYANGA,161,160,160,2.5759,4,4,130,91
S0491,KILOMENI SECONDARY SCHOOL,KILIMANJARO,63,63,63,2.5822,4,3,131,49
S1109,ST.DORCAS SEMINARY,KILIMANJARO,48,48,48,2.594,4,5,132,191
S3914,ALFAGEMS SECONDARY SCHOOL,MOROGORO,200,200,200,2.5947,4,4,133,100
S4459,JUDE SECONDARY SCHOOL,ARUSHA,139,139,139,2.6047,4,3,134,24
S4564,PADRE PIO SECONDARY SCHOOL,MOROGORO,67,67,67,2.6052,4,4,135,49
S4965,CHRIST THE KING NYANTAKUBWA SECONDARY SCHOOL,MWANZA,56,56,56,2.6052,4,,136,
S2425,SUNRISE SECONDARY SCHOOL,MWANZA,127,127,127,2.6082,4,4,137,107
S3536,LILIAN KIBO SECONDARY SCHOOL,DAR ES SALAAM,72,72,72,2.6101,4,4,138,35
S0107,LUTHERAN JUNIOR SEMINARY,MOROGORO,94,94,94,2.6201,4,4,139,123
S0207,KIRAENI GIRLS SECONDARY SCHOOL,KILIMANJARO,129,129,129,2.643,4,4,140,69
S0196,ST. THOMAS MORE KIBOGORA SECONDARY SCHOOL,KIGOMA,49,49,49,2.6474,4,4,141,33
S4905,MUFINDI GIRLS SECONDARY SCHOOL,IRINGA,66,66,66,2.6591,4,7,142,408
S5163,KWEMA MODERN SECONDARY SCHOOL,SHINYANGA,142,142,142,2.6598,4,3,143,44
S0286,JAMES SANGU SECONDARY SCHOOL,MBEYA,44,44,44,2.6607,4,4,144,111
S2359,MAGHABE SECONDARY SCHOOL,MBEYA,41,41,41,2.6687,4,4,145,105
S3547,HASANGA SECONDARY SCHOOL,MBEYA,70,70,70,2.6764,4,4,146,129
S0198,AILANGA LUTHERAN JUNIOR SEMINARY,ARUSHA,97,97,97,2.6796,4,5,147,150
S0214,MSALATO SECONDARY SCHOOL,DODOMA,111,111,111,2.68,4,4,148,71
S0188,KIRINJIKO ISLAMIC SEMINARY,KILIMANJARO,150,150,150,2.6811,4,5,149,228
S0768,ST.BENEDICT SECONDARY SCHOOL,RUVUMA,72,72,72,2.7067,4,6,150,371
S0995,SOS HERMANN GMEINER SECONDARY SCHOOL,UNGUJA,51,51,51,2.7086,4,5,151,160
S4202,FRANCIS MARIA LIBERMANN SECONDARY SCHOOL,UNGUJA,55,55,55,2.7229,4,4,152,97
S4024,USAMBARA GIRLS SECONDARY SCHOOL,TANGA,120,120,120,2.7234,4,4,153,117
S4555,GLORIOUS ACADEMY SECONDARY SCHOOL,UNGUJA,46,46,46,2.7269,4,5,154,143
S4467,ST. JOSEPH SOGA BOYS SECONDARY SCHOOL,MOROGORO,71,71,71,2.7286,4,4,155,121
S0862,KONGEI SECONDARY SCHOOL,TANGA,79,79,79,2.7294,4,5,156,181
S4209,FOUNTAIN OF HOPE CHRISTIAN SEMINARY SECONDARY SCHOOL,KILIMANJARO,47,47,47,2.7309,4,5,157,166
S3482,MWENYEHERI ANUARITE SECONDARY SCHOOL,DAR ES SALAAM,82,82,82,2.7326,4,5,158,139
S0255,ST. CHRISTINA GIRL'S SECONDARY SCHOOL,TANGA,64,64,64,2.7328,4,5,159,165
S0883,DONBOSCO-DIDIA SECONDARY SCHOOL,SHINYANGA,120,119,119,2.733,4,5,160,137
S2335,WAZO HILL SECONDARY SCHOOL,DAR ES SALAAM,100,100,100,2.7453,4,5,161,198
S0342,SHAABAN ROBERT SECONDARY SCHOOL,DAR ES SALAAM,171,169,169,2.7478,4,4,162,98
S3886,SIMBA WA YUDA SECONDARY SCHOOL,SIMIYU,49,48,46,2.7483,4,5,163,164
S4638,ANGEL HOUSE SECONDARY SCHOOL,MARA ,48,48,48,2.7486,4,5,164,142
S3646,ST. MARYS' DULUTI  SECONDARY SCHOOL,ARUSHA,79,79,79,2.7494,4,5,165,152
S3106,MAGULILWA SECONDARY SCHOOL,IRINGA,45,45,45,2.7499,4,5,166,58
S3789,MCHUNGAJI MWEMA SECONDARY SCHOOL,KAGERA,40,40,40,2.7503,4,7,167,473
S5097,ALCP KILASARA SECONDARY SCHOOL,KILIMANJARO,102,102,102,2.7519,4,,168,
S5345,DE PAUL MBANGAMAO SECONDARY SCHOOL,RUVUMA,52,52,52,2.7537,4,,169,
S2348,ILALA ISLAMIC SECONDARY SCHOOL,DAR ES SALAAM,40,40,40,2.7548,4,4,170,118
S3885,WENDA HIGH SCHOOL,MBEYA,115,115,115,2.7584,4,5,171,172
S0578,TAQWA SECONDARY SCHOOL,MWANZA,265,257,257,2.7599,4,5,172,168
S0192,ST. JOHN'S SEMINARY,SINGIDA,53,53,53,2.7638,4,5,173,205
S2211,MWILAMVYA SECONDARY SCHOOL,KIGOMA,80,80,80,2.7725,4,4,174,94
S4087,WIZA SECONDARY SCHOOL,MBEYA,57,57,57,2.7739,4,4,175,119
S3490,ST. BAKANJA  SECONDARY SCHOOL,KIGOMA,141,141,141,2.7827,4,6,176,238
S3491,BUKOBA LUTHERAN SECONDARY SCHOOL,KAGERA,82,82,82,2.7858,4,4,177,125
S0294,MT.CARMEL  SECONDARY SCHOOL,KIGOMA,95,95,95,2.7903,4,4,178,126
S0825,MUDIO ISLAMIC SEMINARY,KILIMANJARO,84,84,84,2.7907,4,4,179,132
S0719,MASONGA SECONDARY SCHOOL,MARA ,62,62,62,2.7943,4,5,180,183
S0513,MIHAYO SECONDARY SCHOOL,TABORA,123,122,122,2.7982,4,5,181,193
S0122,KILIMANJARO BOYS SECONDARY SCHOOL,KILIMANJARO,100,98,98,2.8013,4,,182,
S0622,KUNDUCHI GIRLS ISLAMIC HIGH SCHOOL,DAR ES SALAAM,74,74,74,2.8062,4,6,183,241
S0380,UCHAMA SECONDARY SCHOOL,TABORA,58,58,58,2.8086,4,6,184,291
S0499,OLALENI SECONDARY SCHOOL,KILIMANJARO,101,101,101,2.8094,4,4,185,128
S4673,WESTERN TANGANYIKA SECONDARY SCHOOL,KIGOMA,73,72,72,2.8106,4,6,186,310
S1822,ANNAGAMAZO SECONDARY SCHOOL,ARUSHA,76,76,76,2.8173,4,5,187,192
S4860,ST.THOMAS NYABULA SECONDARY SCHOOL,IRINGA,43,42,42,2.8175,4,5,188,161
S1689,PEACE SECONDARY SCHOOL,KAGERA,163,163,163,2.8195,4,4,189,120
S1665,NYASAKA ISLAMIC SECONDARY SCHOOL,MWANZA,132,132,132,2.8221,4,5,190,153
S4733,ST MARGARET MARIA ALAKOK GIRLS SECONDARY SCHOOL,TABORA,102,102,102,2.8271,4,5,191,201
S1093,ALDERSGATE SECONDARY SCHOOL,MANYARA,106,106,106,2.8293,4,6,192,267
S0723,BOLOTI SECONDARY SCHOOL,KILIMANJARO,86,86,86,2.8321,4,5,193,232
S1449,EDEN GARDEN SECONDARY SCHOOL,KILIMANJARO,56,56,56,2.8337,4,5,194,189
S1008,ST.MAURUS CHEMCHEMI SECONDARY SCHOOL,RUKWA,118,118,118,2.8499,4,5,195,216
S0237,ST. AGNES CHIPOLE SECONDARY SCHOOL,RUVUMA,109,109,109,2.8509,4,5,196,208
S3239,MULEBA SECONDARY SCHOOL,KAGERA,82,82,82,2.8529,4,5,197,187
S4135,MONTESSORI MARIA SECONDARY SCHOOL,MWANZA,50,50,50,2.853,4,5,198,233
S4039,ST. THERESA OF THE CHILD JESUS,ARUSHA,136,136,136,2.8576,4,5,199,162
S2178,GOLDEN RIDGE SECONDARY SCHOOL,GEITA,126,126,126,2.8583,4,7,200,443
S5299,GRACIOUS SECONDARY SCHOOL,KAGERA,40,40,40,2.86,4,,201,
S4294,KATOKE-LWERU SECONDARY SCHOOL,KAGERA,68,68,68,2.8616,4,5,202,202
S0589,NYABIHORE SECONDARY SCHOOL,MARA ,99,99,99,2.8643,4,5,203,159
S5000,WAMA-NAKAYAMA  SECONDARY SCHOOL,PWANI,73,70,69,2.8655,4,5,204,212
S0278,IGUMBILO SECONDARY SCHOOL,MBEYA,70,70,70,2.8659,4,4,205,110
S0387,KARAGWE SECONDARY SCHOOL,KAGERA,115,115,115,2.8675,4,5,206,211
S0326,LUMUMBA SECONDARY SCHOOL,UNGUJA,157,157,157,2.8709,4,4,207,95
S0250,MURIGHA SECONDARY SCHOOL,SINGIDA,66,66,66,2.8737,4,5,208,147
S0461,JOHN PAUL II KAHAMA SECONDARY SCHOOL,SHINYANGA,142,141,141,2.8813,4,5,209,185
S1085,LAUREATE INTERNATIONAL SCHOOL,UNGUJA,69,69,69,2.8879,4,5,210,141
S4700,LOUIS MONTFORT SECONDARY SCHOOL,DAR ES SALAAM,48,48,48,2.8927,4,5,211,65
S0534,ST. ANTHONY'S SECONDARY SCHOOL,DAR ES SALAAM,261,259,259,2.8932,4,5,212,182
S4719,ST. ALOIS SECONDARY SCHOOL,NJOMBE,55,54,54,2.8949,4,6,213,298
S4474,TANGA DON BOSCO TECHNICAL SCHOOL,TANGA,63,63,63,2.8957,4,5,214,180
S4408,KASSA CHARITY SECONDARY SCHOOL,MWANZA,84,84,84,2.8962,4,6,215,255
S0531,RUAHA SECONDARY SCHOOL,IRINGA,81,81,81,2.8974,4,5,216,230
S0273,ST. AGNES KWIRO GIRLS SECONDARY SCHOOL,MOROGORO,40,40,40,2.9,4,5,217,64
S0376,SONI SEMINARY,TANGA,42,42,42,2.9039,4,4,218,52
S2693,MWANDEGE BOYS SECONDARY SCHOOL,PWANI,80,80,80,2.9057,4,4,219,134
S3539,ST.MARY'S MBEYA SECONDARY SCHOOL,MBEYA,64,64,64,2.9101,4,5,220,222
S4628,JIFUNZENI SECONDARY SCHOOL,MBEYA,99,99,99,2.9147,4,5,221,155
S4575,MESSA SECONDARY SCHOOL,MWANZA,95,95,95,2.9175,4,5,222,171
S5159,SUMA ENGIKARETH,ARUSHA,55,55,55,2.9205,4,6,223,263
S1819,TRIFONIA ACADEMY,UNGUJA,46,46,46,2.9212,4,4,224,44
S3640,MOUNT CHANZA SECONDARY SCHOOL,KIGOMA,84,84,84,2.9312,4,5,225,217
S0647,NGARENANYUKI SECONDARY SCHOOL,ARUSHA,65,64,64,2.9426,4,6,226,369
S0284,RONECA GIRL'S SECONDARY SCHOOL,PWANI,65,65,65,2.9477,4,4,227,38
S0112,IYUNGA TECHNICAL SECONDARY SCHOOL,MBEYA,117,110,107,2.9486,4,4,228,131
S4400,ILEMELA SECONDARY SCHOOL,MWANZA,52,52,52,2.9511,4,6,229,246
S3500,B. HILLHORST SECONDARY SCHOOL,MOROGORO,49,49,49,2.9539,4,6,230,309
S4262,CHRIST THE KING SECONDARY SCHOOL,DAR ES SALAAM,69,68,67,2.9549,4,5,231,200
S4462,SONI ISLAMIC SEMINARY SECONDARY SCHOOL,TANGA,57,50,50,2.9655,4,6,232,250
S0489,SUJI SECONDARY SCHOOL,KILIMANJARO,108,108,108,2.966,4,7,233,909
S3601,ILASI SECONDARY SCHOOL,MBEYA,95,93,93,2.9684,4,6,234,251
S3579,EBENEZER SECONDARY SCHOOL,IRINGA,76,76,76,2.9692,4,5,235,173
S1198,TANZANIA ADVENTIST SECONDARY SCHOOL,ARUSHA,116,116,116,2.9709,4,6,236,247
S1437,FILBERT BAYI SECONDARY SCHOOL,PWANI,83,83,83,2.9723,4,5,237,62
S5038,MWL TUTUBA SECONDARY SCHOOL,KIGOMA,40,40,40,2.974,4,,238,
S2378,AIRPORT SECONDARY SCHOOL,MBEYA,162,162,162,2.9904,4,6,239,274
S2656,FPCT-RUO SECONDARY SCHOOL,LINDI,65,65,65,2.9911,4,6,240,311
S4218,REV.A.BUNGWA SECONDARY SCHOOL,KIGOMA,197,197,197,2.9915,4,6,241,286
S5093,ANNE MAKINDA SECONDARY SCHOOL,NJOMBE,85,85,85,3.0013,5,6,242,302
S4217,ALGEBRA ISLAMIC SEMINARY,DAR ES SALAAM,140,140,140,3.0049,5,5,243,176
S0419,CHOME SECONDARY SCHOOL,KILIMANJARO,44,44,44,3.0061,5,8,244,1015
S4552,AGNES TRUST SECONDARY SCHOOL,NJOMBE,47,47,47,3.0084,5,6,245,104
S4119,CONSOLATA IRINGA SECONDARY SCHOOL,IRINGA,76,76,76,3.0117,5,6,246,308
S0557,NARUMU SECONDARY SCHOOL,KILIMANJARO,74,74,74,3.0132,5,6,247,253
S0630,NYEGINA SECONDARY SCHOOL,MARA ,100,100,100,3.0177,5,6,248,269
S0804,MVUMI SECONDARY SCHOOL,DODOMA,126,125,124,3.0188,5,5,249,214
S0397,RULENGE SECONDARY SCHOOL,KAGERA,132,132,131,3.0193,5,5,250,199
S0479,NRONGA SECONDARY SCHOOL,KILIMANJARO,46,46,46,3.0229,5,6,251,355
S4515,ST ACHILLEUS KIWANUKA KIJWIRE SECONDARY SCHOOL,KAGERA,87,85,85,3.0237,5,5,252,204
S0235,BUKUMBI SECONDARY SCHOOL,MWANZA,143,143,143,3.0242,5,5,253,177
S0357,URU SECONDARY SCHOOL,KILIMANJARO,81,81,81,3.0306,5,4,254,133
S0309,FIDEL CASTRO SECONDARY SCHOOL,PEMBA,169,168,168,3.0322,5,5,255,156
S4567,SACRED HEART SECONDARY SCHOOL,KAGERA,80,79,79,3.0369,5,7,256,471
S0451,ENDAROFTA SECONDARY SCHOOL,ARUSHA,44,44,44,3.0373,5,6,257,135
