Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-04-14T00:00:00Z,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,5025.0,
FCO,FCO,2010-04-14T00:00:00Z,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,-54935.0,
FCO,FCO,2010-04-14T00:00:00Z,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,-5025.0,
FCO,FCO,2010-04-14T00:00:00Z,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,55970.0,
FCO,FCO,2010-04-14T00:00:00Z,General Information Services,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,3990.0,
FCO,FCO,2010-04-22T00:00:00Z,Construction Project more than ����10k,DG CHANGE & DELIVERY,AAR ENVIRONMENTAL LTD - ASSOCIATED ASBESTOS REMOVAL LTD,Unknown,1162345,28000.0,
FCO,FCO,2010-04-15T00:00:00Z,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL(THE),Active,1008280,68349.2,
FCO,FCO,2010-05-07T00:00:00Z,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL(THE),Active,1008312,74554.79,
FCO,FCO,2010-04-21T00:00:00Z,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LIMITED,Active,1162292,113130.7,
FCO,FCO,2010-04-21T00:00:00Z,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LIMITED,Active,1162292,16.82,
FCO,FCO,2010-04-21T00:00:00Z,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LIMITED,Active,1162292,19797.87,
FCO,FCO,2010-04-21T00:00:00Z,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LIMITED,Active,1162292,2.94,
FCO,FCO,2010-04-21T00:00:00Z,FCO Healthcare Scheme,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LIMITED,Active,1162292,0.01,
